,CLOSE_DEF_PERSON_ID,GP,G,DEFENSE_CATEGORY,FREQ,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,PCT_PLUSMINUS
4,1627748,71,70,Less Than 10 Ft,0.683,3.38,6.01,0.562,0.57,-0.008
5,1627748,71,65,Greater Than 15 Ft,0.27,0.94,2.38,0.396,0.377,0.019
0,204025,53,53,Overall,1.0,2.66,5.49,0.485,0.44,0.044
1,204025,53,46,3 Pointers,0.485,1.11,2.66,0.418,0.351,0.067
2,204025,53,50,2 Pointers,0.515,1.55,2.83,0.547,0.5,0.047
3,204025,53,37,Less Than 6 Ft,0.234,0.89,1.28,0.691,0.607,0.084
4,204025,53,42,Less Than 10 Ft,0.316,1.11,1.74,0.641,0.559,0.082
5,204025,53,48,Greater Than 15 Ft,0.601,1.34,3.3,0.406,0.367,0.039
0,203503,73,73,Overall,1.0,3.99,8.25,0.483,0.45,0.034
1,203503,73,66,3 Pointers,0.36,1.18,2.97,0.396,0.358,0.038
2,203503,73,73,2 Pointers,0.64,2.81,5.27,0.532,0.5,0.032
3,203503,73,62,Less Than 6 Ft,0.248,1.48,2.04,0.725,0.614,0.111
4,203503,73,70,Less Than 10 Ft,0.384,1.95,3.16,0.615,0.564,0.051
5,203503,73,69,Greater Than 15 Ft,0.547,1.78,4.51,0.395,0.372,0.023
0,202687,82,82,Overall,1.0,3.9,8.24,0.473,0.477,-0.003
1,202687,82,56,3 Pointers,0.163,0.51,1.34,0.382,0.369,0.013
2,202687,82,81,2 Pointers,0.837,3.39,6.9,0.491,0.515,-0.024
3,202687,82,78,Less Than 6 Ft,0.533,2.41,4.39,0.55,0.612,-0.062
4,202687,82,79,Less Than 10 Ft,0.67,2.78,5.52,0.503,0.562,-0.059
5,202687,82,69,Greater Than 15 Ft,0.266,0.93,2.2,0.422,0.38,0.042
0,203469,33,33,Overall,1.0,2.88,6.67,0.432,0.471,-0.04
1,203469,33,20,3 Pointers,0.159,0.15,1.06,0.143,0.347,-0.204
2,203469,33,32,2 Pointers,0.841,2.73,5.61,0.486,0.513,-0.027
3,203469,33,32,Less Than 6 Ft,0.445,1.76,2.97,0.592,0.609,-0.017
4,203469,33,32,Less Than 10 Ft,0.582,2.09,3.88,0.539,0.564,-0.025
5,203469,33,29,Greater Than 15 Ft,0.318,0.45,2.12,0.214,0.361,-0.147
0,1628407,44,44,Overall,1.0,2.7,6.09,0.444,0.445,-0.001
1,1628407,44,37,3 Pointers,0.425,0.93,2.59,0.36,0.359,0.0
2,1628407,44,41,2 Pointers,0.575,1.77,3.5,0.506,0.501,0.006
3,1628407,44,33,Less Than 6 Ft,0.25,1.0,1.52,0.657,0.61,0.047
4,1628407,44,38,Less Than 10 Ft,0.321,1.14,1.95,0.581,0.56,0.021
5,1628407,44,40,Greater Than 15 Ft,0.593,1.34,3.61,0.371,0.372,-0.001
0,1628370,55,55,Overall,1.0,2.18,4.11,0.531,0.437,0.094
1,1628370,55,41,3 Pointers,0.372,0.53,1.53,0.345,0.359,-0.014
2,1628370,55,47,2 Pointers,0.628,1.65,2.58,0.641,0.485,0.156
3,1628370,55,37,Less Than 6 Ft,0.301,0.96,1.24,0.779,0.595,0.184
4,1628370,55,43,Less Than 10 Ft,0.389,1.15,1.6,0.716,0.544,0.172
5,1628370,55,43,Greater Than 15 Ft,0.5,0.78,2.05,0.381,0.372,0.008
0,201587,64,64,Overall,1.0,3.98,8.2,0.486,0.453,0.032
1,201587,64,64,3 Pointers,0.385,1.42,3.16,0.45,0.369,0.081
2,201587,64,61,2 Pointers,0.615,2.56,5.05,0.508,0.505,0.003
3,201587,64,51,Less Than 6 Ft,0.261,1.36,2.14,0.635,0.618,0.017
4,201587,64,57,Less Than 10 Ft,0.339,1.66,2.78,0.596,0.565,0.03
