,Player,Pos,3P%,2P%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS
237,Frank Jackson,PG,0.325,0.43799999999999994,0.4,1.0,0.8,0.3,0.1,0.8,1.3,5.6
238,Jaren Jackson Jr.,C,0.397,0.535,1.0,3.7,1.4,0.7,1.6,1.7,4.1,16.9
239,Josh Jackson,SG,0.319,0.542,0.6,2.6,1.7,1.0,0.5,1.4,2.2,10.4
240,Justin Jackson,PF,0.298,0.494,0.5,2.0,0.8,0.2,0.2,0.2,1.0,5.7
241,Reggie Jackson,PG,0.39799999999999996,0.431,0.7,2.3,4.4,0.4,0.2,1.7,1.7,12.8
242,Justin James,SG,0.34600000000000003,0.462,0.2,0.7,0.5,0.2,0.3,0.2,0.5,2.5
243,LeBron James,PG,0.349,0.57,1.0,6.9,10.6,1.2,0.5,4.0,1.8,25.7
244,Amile Jefferson,PF,,0.35700000000000004,0.6,0.7,0.2,0.1,0.2,0.2,0.4,0.8
245,DaQuan Jeffries,SG,0.25,0.667,0.2,0.0,0.2,0.2,0.0,0.0,0.5,1.2
246,Ty Jerome,PG,0.27699999999999997,0.40700000000000003,0.2,1.3,1.5,0.5,0.1,0.6,1.0,3.5
247,Alize Johnson,SF,,0.467,0.5,0.8,0.2,0.0,0.0,0.2,0.5,1.4
248,B.J. Johnson,SF,0.16699999999999998,0.33299999999999996,0.1,0.6,0.3,0.3,0.0,0.4,0.0,1.6
249,Cameron Johnson,PF,0.397,0.469,0.8,2.1,1.1,0.6,0.3,0.6,1.5,8.1
250,James Johnson,PF,0.363,0.565,0.8,2.9,2.3,0.8,1.0,1.5,2.5,8.4
251,Keldon Johnson,SF,0.4,0.5379999999999999,0.6,1.3,0.7,0.6,0.1,0.3,1.0,4.6
252,Stanley Johnson,PF,0.154,0.33299999999999996,0.2,1.0,0.4,0.2,0.1,0.4,0.5,1.2
253,Tyler Johnson,SG,0.289,0.466,0.3,1.4,1.6,0.4,0.3,0.8,1.4,5.7
254,Nikola Jokić,C,0.314,0.594,2.4,7.8,6.9,1.2,0.7,3.1,3.1,20.2
255,Damian Jones,C,0.222,0.7040000000000001,1.3,2.4,0.6,0.5,0.7,0.5,2.7,5.6
256,Derrick Jones Jr.,SF,0.27,0.67,1.1,3.1,1.1,1.1,0.7,0.5,2.2,8.9
257,Tyus Jones,PG,0.379,0.49200000000000005,0.1,1.4,4.4,0.9,0.1,0.8,0.7,7.4
258,DeAndre Jordan,C,,0.6659999999999999,2.5,7.5,1.9,0.3,0.9,1.3,2.0,8.3
259,Cory Joseph,PG,0.35100000000000003,0.46,0.6,2.0,3.4,0.7,0.3,1.0,1.9,6.3
260,Mfiondu Kabengele,C,0.45,0.41700000000000004,0.1,0.8,0.2,0.2,0.2,0.2,0.8,3.5
261,Frank Kaminsky,C,0.348,0.527,0.9,4.0,2.2,0.4,0.3,1.0,2.2,11.0
262,Enes Kanter,C,0.14300000000000002,0.5760000000000001,2.8,5.0,1.0,0.4,0.7,1.0,1.7,8.2
263,Luke Kennard,SG,0.39899999999999997,0.491,0.3,3.2,4.1,0.4,0.2,1.5,2.3,15.8
264,Stanton Kidd,SF,0.0,0.0,0.0,0.8,0.3,0.0,0.0,0.5,0.8,0.0
265,Michael Kidd-Gilchrist,SF,0.25,0.35,0.6,2.0,0.6,0.1,0.2,0.6,1.5,2.5
266,Louis King,SF,0.364,0.4,0.1,0.9,0.5,0.2,0.0,0.2,1.0,2.0
267,Maxi Kleber,C,0.374,0.594,1.5,3.9,1.2,0.3,1.2,0.7,2.3,9.2
268,Brandon Knight,PG,0.344,0.389,0.2,1.5,2.8,0.4,0.1,1.5,1.6,7.3
269,Kevin Knox,SF,0.327,0.391,0.4,2.4,0.9,0.4,0.4,0.7,1.6,6.4
270,John Konchar,SG,0.444,0.731,1.2,1.9,1.4,0.5,0.2,0.4,0.5,3.4
271,Furkan Korkmaz,SG,0.397,0.48700000000000004,0.3,2.1,1.1,0.6,0.2,0.8,1.4,9.7
272,Luke Kornet,C,0.287,0.6459999999999999,0.6,1.7,0.9,0.3,0.7,0.4,1.5,6.0
273,Kyle Korver,SF,0.415,0.48100000000000004,0.3,1.8,1.2,0.4,0.2,0.8,1.4,6.7
274,Rodions Kurucs,PF,0.385,0.507,0.5,2.0,0.8,0.4,0.1,0.9,1.7,4.2
275,Kyle Kuzma,PF,0.297,0.523,0.9,3.6,1.3,0.4,0.4,1.6,2.0,12.5
276,Skal Labissière,C,0.231,0.5820000000000001,2.0,3.2,1.3,0.2,0.9,0.9,2.7,5.8
277,Jeremy Lamb,SG,0.335,0.508,0.5,3.8,2.1,1.2,0.5,1.1,2.3,12.5
278,Romeo Langford,SG,0.217,0.46299999999999997,0.5,0.7,0.2,0.3,0.2,0.3,1.1,2.6
279,Zach LaVine,SG,0.38,0.49700000000000005,0.7,4.1,4.2,1.5,0.5,3.4,2.2,25.5
