,Player,PLAYER_ID,left_corner_3,right_corner_3,left_wing_3,right_wing_3,center_3,deep_3,heave,left_baseline_deep_2,right_baseline_deep_2,left_wing_deep_2,right_wing_deep_2,left_baseline_short_2,right_baseline_short_2,left_wing_short_2,right_wing_short_2,deep_center_2,short_center_2,floater_range,in_the_paint,restricted_area,Pos,3P%,2P%,TRB,AST,STL,BLK,TOV,PF,PTS
1462,Robert Sacre,203135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,18.0,2.0,0.0,30.0,20.0,7.0,2.0,0.0,17.0,21.0,66.0,126.0,C,0.0,0.4195,2.85,0.6000000000000001,0.25,0.5,0.5,1.7,3.7
1463,Robert Swift,2741.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.0,5.0,1.0,0.0,0.0,1.0,7.0,35.0,105.0,C,0.0,0.461,2.9,0.17500000000000002,0.30000000000000004,0.775,0.725,1.975,3.1
1464,Robert Traylor,1714.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,0.0,7.0,15.0,8.0,10.0,1.0,7.0,6.0,43.0,231.0,C,0.2888333333333333,0.47,3.6666666666666665,0.6833333333333332,0.6,0.6666666666666666,0.9,2.3666666666666667,4.583333333333333
1465,Robert Whaley,101156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,14.0,C,0.0,0.404,1.9,0.7,0.3,0.3,0.6,1.8,2.1
1466,Robin Lopez,201577.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,1.0,1.0,20.0,22.0,4.0,4.0,0.0,9.0,6.0,54.0,254.0,C,0.107,0.5368333333333334,4.891666666666667,0.7833333333333333,0.2416666666666667,1.133333333333333,1.0666666666666669,1.9416666666666669,8.575000000000001
1467,Rod Strickland,393.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,PG,0.2013,0.4082000000000001,2.57,4.85,0.82,0.15000000000000002,1.7099999999999995,1.34,7.540000000000001
1468,Rodions Kurucs,1629066.0,14.0,7.0,24.0,31.0,6.0,0.0,0.0,2.0,0.0,17.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,9.0,164.0,PF,0.35,0.5249999999999999,3.2,0.8,0.55,0.25,1.05,2.0,6.35
1469,Rodney Buford,1934.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,4.0,5.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,4.0,3.0,3.0,24.0,SF,0.24400000000000005,0.4198000000000001,2.2,0.68,0.46,0.12000000000000002,0.5199999999999999,1.2799999999999998,5.58
1470,Rodney Carney,200760.0,8.0,2.0,3.0,3.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,0.0,3.0,0.0,1.0,2.0,1.0,3.0,11.0,SF,0.3177142857142857,0.4595714285714286,1.7285714285714284,0.37142857142857133,0.5142857142857143,0.2428571428571429,0.4571428571428572,1.1857142857142855,5.0
1471,Rodney Hood,203918.0,12.0,14.0,26.0,14.0,13.0,0.0,0.0,4.0,2.0,9.0,4.0,8.0,12.0,8.0,10.0,1.0,22.0,26.0,43.0,58.0,SG,0.3773,0.4754,2.71,1.7299999999999998,0.76,0.2,0.99,2.07,12.22
