,CLOSE_DEF_PERSON_ID,GP,G,DEFENSE_CATEGORY,FREQ,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,PCT_PLUSMINUS
3,1627759,67,61,Less Than 6 Ft,0.25,1.46,2.34,0.624,0.617,0.007
4,1627759,67,63,Less Than 10 Ft,0.329,1.67,3.09,0.541,0.562,-0.021
5,1627759,67,67,Greater Than 15 Ft,0.587,1.76,5.51,0.32,0.376,-0.056
0,1628369,77,77,Overall,1.0,3.55,8.17,0.434,0.454,-0.02
1,1628369,77,72,3 Pointers,0.417,1.23,3.4,0.363,0.369,-0.006
2,1628369,77,76,2 Pointers,0.583,2.31,4.77,0.485,0.506,-0.021
3,1628369,77,73,Less Than 6 Ft,0.321,1.53,2.62,0.584,0.61,-0.026
4,1628369,77,74,Less Than 10 Ft,0.396,1.71,3.23,0.53,0.557,-0.027
5,1628369,77,75,Greater Than 15 Ft,0.548,1.58,4.48,0.354,0.379,-0.025
0,202689,80,80,Overall,1.0,5.9,13.59,0.434,0.446,-0.012
1,202689,80,79,3 Pointers,0.396,1.89,5.38,0.351,0.362,-0.011
2,202689,80,80,2 Pointers,0.604,4.01,8.21,0.489,0.493,-0.004
3,202689,80,73,Less Than 6 Ft,0.18,1.66,2.45,0.679,0.611,0.067
4,202689,80,78,Less Than 10 Ft,0.282,2.13,3.84,0.554,0.553,0.001
5,202689,80,80,Greater Than 15 Ft,0.585,2.98,7.95,0.374,0.379,-0.004
0,203935,51,51,Overall,1.0,3.59,8.67,0.414,0.452,-0.038
1,203935,51,48,3 Pointers,0.462,1.22,4.0,0.304,0.361,-0.057
2,203935,51,50,2 Pointers,0.538,2.37,4.67,0.508,0.504,0.004
3,203935,51,44,Less Than 6 Ft,0.231,1.27,2.0,0.637,0.62,0.017
4,203935,51,48,Less Than 10 Ft,0.314,1.53,2.73,0.561,0.568,-0.007
5,203935,51,51,Greater Than 15 Ft,0.624,1.78,5.41,0.33,0.375,-0.046
0,1628400,66,66,Overall,1.0,2.58,6.05,0.426,0.452,-0.026
1,1628400,66,56,3 Pointers,0.366,0.68,2.21,0.308,0.357,-0.049
2,1628400,66,61,2 Pointers,0.634,1.89,3.83,0.494,0.505,-0.011
3,1628400,66,51,Less Than 6 Ft,0.266,1.02,1.61,0.632,0.611,0.021
4,1628400,66,58,Less Than 10 Ft,0.404,1.38,2.44,0.565,0.559,0.006
5,1628400,66,57,Greater Than 15 Ft,0.506,0.92,3.06,0.302,0.371,-0.069
0,203382,77,77,Overall,1.0,4.4,9.82,0.448,0.48,-0.031
1,203382,77,59,3 Pointers,0.16,0.36,1.57,0.231,0.365,-0.133
2,203382,77,76,2 Pointers,0.84,4.04,8.25,0.49,0.519,-0.029
3,203382,77,76,Less Than 6 Ft,0.43,2.52,4.22,0.597,0.618,-0.021
4,203382,77,76,Less Than 10 Ft,0.606,3.17,5.95,0.533,0.568,-0.035
5,203382,77,72,Greater Than 15 Ft,0.288,0.84,2.83,0.298,0.373,-0.075
0,202328,50,50,Overall,1.0,4.94,9.48,0.521,0.475,0.046
1,202328,50,35,3 Pointers,0.116,0.32,1.1,0.291,0.337,-0.047
2,202328,50,50,2 Pointers,0.884,4.62,8.38,0.551,0.516,0.035
3,202328,50,50,Less Than 6 Ft,0.57,3.32,5.4,0.615,0.617,-0.002
4,202328,50,50,Less Than 10 Ft,0.686,3.7,6.5,0.569,0.567,0.002
5,202328,50,43,Greater Than 15 Ft,0.249,0.94,2.36,0.398,0.369,0.029
0,1627824,27,27,Overall,1.0,1.85,3.52,0.526,0.441,0.085
1,1627824,27,13,3 Pointers,0.274,0.52,0.96,0.538,0.36,0.179
2,1627824,27,24,2 Pointers,0.726,1.33,2.56,0.522,0.484,0.037
3,1627824,27,19,Less Than 6 Ft,0.453,1.04,1.59,0.651,0.596,0.055
4,1627824,27,20,Less Than 10 Ft,0.505,1.15,1.78,0.646,0.545,0.101
5,1627824,27,19,Greater Than 15 Ft,0.432,0.67,1.52,0.439,0.371,0.068
0,202681,55,55,Overall,1.0,4.49,9.35,0.481,0.452,0.029
1,202681,55,53,3 Pointers,0.352,1.18,3.29,0.359,0.367,-0.008
2,202681,55,55,2 Pointers,0.648,3.31,6.05,0.547,0.501,0.046
3,202681,55,50,Less Than 6 Ft,0.274,1.89,2.56,0.738,0.606,0.132
4,202681,55,52,Less Than 10 Ft,0.368,2.2,3.44,0.64,0.558,0.082
5,202681,55,55,Greater Than 15 Ft,0.519,1.8,4.85,0.371,0.378,-0.007
