,PLAYER_ID,left_corner_3,right_corner_3,left_wing_3,right_wing_3,center_3,deep_3,heave,left_baseline_deep_2,right_baseline_deep_2,left_wing_deep_2,right_wing_deep_2,left_baseline_short_2,right_baseline_short_2,left_wing_short_2,right_wing_short_2,deep_center_2,short_center_2,floater_range,in_the_paint,restricted_area
Malcolm Delaney 2018,1627098.0,4.0,4.0,9.0,6.0,1.0,0.0,0.0,2.0,2.0,6.0,0.0,0.0,1.0,1.0,1.0,0.0,5.0,1.0,0.0,14.0
Malcolm Lee 2012,202723.0,4.0,1.0,0.0,4.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,3.0,31.0
Malcolm Miller 2018,1626259.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Malcolm Miller 2019,1626259.0,6.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Malcolm Miller 2020,1626259.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Malcolm Thomas 2013,202952.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0
Malik Allen 2005,2124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0
Malik Allen 2006,2124.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,6.0,6.0,1.0,17.0,11.0,8.0,7.0,0.0,16.0,13.0,27.0,33.0
Malik Allen 2007,2124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,1.0,0.0,6.0,1.0,3.0,2.0,0.0,12.0,3.0,3.0,12.0
Malik Beasley 2016,1627736.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
Malik Beasley 2017,1627736.0,3.0,2.0,5.0,8.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,6.0,32.0
Malik Beasley 2018,1627736.0,7.0,11.0,22.0,14.0,13.0,0.0,0.0,2.0,1.0,11.0,1.0,1.0,0.0,3.0,1.0,0.0,3.0,2.0,6.0,63.0
Malik Beasley 2019,1627736.0,18.0,13.0,41.0,38.0,34.0,0.0,0.0,2.0,1.0,28.0,0.0,3.0,7.0,5.0,6.0,0.0,12.0,9.0,24.0,83.0
Malik Beasley 2020,1627736.0,4.0,4.0,5.0,6.0,3.0,1.0,0.0,1.0,0.0,4.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,3.0,4.0,11.0
Malik Hairston 2009,201612.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,20.0
Malik Hairston 2010,201612.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,28.0
Malik Monk 2017,1628370.0,2.0,7.0,6.0,13.0,6.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,4.0,11.0
Malik Monk 2018,1628370.0,5.0,7.0,29.0,41.0,21.0,2.0,0.0,1.0,0.0,18.0,0.0,2.0,1.0,2.0,0.0,0.0,16.0,5.0,11.0,60.0
Malik Monk 2019,1628370.0,8.0,11.0,31.0,24.0,11.0,1.0,0.0,0.0,0.0,14.0,0.0,3.0,5.0,1.0,2.0,0.0,2.0,8.0,26.0,94.0
Malik Monk 2020,1628370.0,3.0,2.0,9.0,7.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,11.0,46.0
